Name,VT,U VALUE,SHGC,Cooling/Year (x 1000000 kwh),Peak Demand (x1000 kw),Peak Cooling Tons,EUI,Annual Bill (Electric +Gas)
ASHLEY RIVER,70%,0.27,0.38,1.87,5.45,772,412.44,1293011
HEAT  MIRROR A,61%,0.13,0.3,1.84,5.31,764,410.63,1285956
GL01,60%,0.22,0.28,1.83,5.28,763,409.61,1284642
HEAT  MIRROR B,55%,0.13,0.24,1.82,5.21,759,409.04,1282049
GL03A - TF,51%,0.22,0.25,1.86,5.21,761,412.3,1287559
GL03B - TF,49%,0.22,0.24,1.85,5.25,759,411.76,1287785
GL03C - TF,46%,0.22,0.23,1.85,5.25,759,411.77,1287847
GL03A - OF,42%,0.22,0.21,1.84,5.31,758,411.25,1288224
GL03B - 0F,37%,0.22,0.19,1.84,5.28,757,411.06,1287401
GL03C - 0F,33%,0.22,0.17,1.82,5.24,755,410.31,1284846
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
